categoria,descricao,codigo_produto,codigo_auxiliar,valor_1,valor_2,valor_3
EXPEDICAO,3UASE7230618 - GUARANA - SA,721252065515,S240902CL201,2081.74,2081.74,0.00
EXPEDICAO,GUASE7230618 - GUARANA - SA,721252065515,300608205,960.00.,960.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA - SA,721252065515,300608206,1000.00,1000.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA - SA,721252065515,300608209,513.00,513.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA - SA,721252065515,300608347,1000.00,1000.00,0.00
EXPEDICAO,GUASE7230618B S,721252086555,300608175,500.00,500.00,0.00
EXPEDICAO,GUASE7230618B S,721252086555,300609482,1500.00,1500.00,0.00
EXPEDICAO,HB$DP54616 - HIB SCO,721303002515,L240913CL101,400.00,400.00,0.00
EXPEDICAO,HIBISCUS FLOR,1000014753,HIB/02/24.,500.00,500.00,0.00
EXPEDICAO,INOSITOL,1000016234,202310536,43.63,43.62,0.01
EXPEDICAO,KMB2180820 - KOMBUCHA,723373001515,L240529CL301,60.00,60.00,0.00
EXPEDICAO,LD602130619 - COCO,724163002515,L240815CL202,80.00,80.00,0.00
EXPEDICAO,LEITE COCO 12% FAT PARAIPABA,1000014715,PCOPA3353,0.00,0.00,0.00
EXPEDICAO,LEITE COCO 12% FAT PARAIPABA,1000014715,PCPA3353,0.00,0.00,0.00
EXPEDICAO,L-ISOLEUCINA,1000016118,20230918,300.00,300.00,0.00
EXPEDICAO,L-LEUCINA,1000016117,20230907,550.00,550.00,0.00
EXPEDICAO,L-LEUCINA,1000016117,20230722,50.00,50.00,0.00
EXPEDICAO,LTCO067806208R - COCO,724163030415,L241108CL202,780.00,780.00,0.00
EXPEDICAO,L-VALINA,1000016119,20230902,300.00,0.00,300.03
EXPEDICAO,MALTODEXTRINA DE MANDIOCA,1000014805,70624041,13000.00,13000.00,0.00
EXPEDICAO,MALTODEXTRINA DE MILHO,1000014714,2033385,7.62,7.62,0.00
EXPEDICAO,MALTODEXTRINA DE MILHO,1000014714,2087785,550.00,550.00,0.00
EXPEDICAO,MALTODEXTRINA DE MILHO,1000014714,L 0002083423,25.01,25.00,0.01
EXPEDICAO,MALTODEXTRINA-DE MILHO,1000014714,L 0002083453,25.00,25.00,0.00
EXPEDICAO,MALTODEXTRINA DE MILHO,1000014714,L0002020169,60.59,60.59,0.00
EXPEDICAO,MALTODEXTRINA DE MILHO,1000014714,2087719,1500.00,1500.00,0.00
EXPEDICAO,MALTODEXTRINA DE MILHO,1000014714,L 0002073953,750.00,750.00,0.00
EXPEDICAO,MALTODEXTRINA ORGANICA,1000014716,QP-488,1165.50,1165.00,0.50
EXPEDICAO,MANZ22012210089 - APPLE POWDER,722203024515,L241010CL201,120.00,120.00,0.00
EXPEDICAO,MAT8CAFSDP1617,721263009515,L220221CL103,1358.60,1358.60,0.00
EXPEDICAO,MAT8CAFSDP1617,721263009515,L220110CL103,80.00,80.00,0.00
EXPEDICAO,MTG6740620 - ERVA MATE,721263003515,L240403CL101,60.00,60.00,0.00
EXPEDICAO,NIACINAMIDE USP/FCC FALF600,1000016096,NM2402001,482.18,482.18,0.00.
EXPEDICAO,NIACINAMIDE USP/FCC FALF600,1000016096,NM2311008,1.03.,0.00,1.03
EXPEDICAO,NIACINAMIDE USP/FCC FALF600,1000016096,NM2307007,0.00.,1.00,1.00
EXPEDICAO,ORGCOC21605210054 - COCO ORG,724163026415,L240815CL201,220.00,220.00,0.00
EXPED!CAO,ORGMAT450220 - ERVA MATE,721263004415,L240924CL101,140.00,140.00,0.00
EXPEDICAO,PALETE COM TRATAMENTO,1100045573,233,47.00,47.00,0.00
EXPEDICAO,PALETE COM TRATAMENTO,1100045573,WG 04,2.00,2.00,0.00
EXPEDICAO,POLPA DE BANANA,1000014746,140224,0.00,0.00,0.00
EXPEDICAO,POLPA DE GENGIBRE BAG 20KG,1000015616,31501,0.00,0.00,0.00
EXPEDICAC,POLPA DE PITAYA,1000014814,,0.00,.0.00,0.00
EXPEDICAC,POLPA DE PITAYA,1000014814,,0.00,0.00,0.00
