categoria,descricao,codigo_produto,codigo_auxiliar,valor_1,valor_2,valor_3
EXPEDICAO,ABRACADEIRA SEM LOGO,1200097349,4072024,26049.00,30000.00,3.951.
EXPEDICAO,ABRACADEIRA SEM LOGO,1200097349,S230717CL201,27978.00,24027.00,3951.00
EXPEDICAO,ABRACADEIRAS K22L 20CM NYLON,1000014719,T0143.2023,18053.00,18100.00,47.00
EXPEDICAO,AC172020519 - ACEROLA-SA,722022028515,L240717CL204,12.74,12.74,0.00
EXPEDICAO,"ACAI 4 EM 1, PO, YERBALATINA",1000016168,L240717CL205,3.70,3.70,0.00
EXPEDICAO,ACE2090720 - ACEROLA,722023004555,L240401CL204,60.00,60.00,0.00
EXPEDICAO,ACE2090720 - ACEROLA,722023004555,L240509CL203,40.00,40.00,0.00
EXPEDICAO,ACE2090720 - ACEROLA,722023004555,L240717CL206,400.00,400.00,0.00
EXPEDICAO,ACE2090720 - ACEROLA,722023004555,S240717CL201,500.00,500.00,0.00
EXPEDICAO,ACE2090720 - ACEROLA,722023004555,S240718CL201,1040.00,1040.00,0.00
EXPEDICAO,ACE2090720-SA,1000015410,S240715CL201,2028.38,2028.38,0.00
EXPEDICAO,ACE2090720-SA,1000015410,S240722CL202,228.03,228.28,0.25
EXPEDICAO,ACE2090720-SA,1000015410,300608272,249.50,249.50,0.00
EXPEDICAO,ACE2090720-SA,1000015410,L240129CL203,469.36,468.46,0.90
EXPEDICAO,ACEROLA POLPOSA EM PO 17%,1000016240,L231026CL102,0.00,0.00.,0.00
EXPEDICAO,ACI2115820 - ACAI,722013001515,L240405CL201,40.00,40.00,0.00
EXPEDICAO,ACI4XDES2013,1000015423,1231150031,140.00,140.00,0.00
EXPEDICAO,ACI4XDES2013,1000015423,SR20F00173,580.00,580.00,0.00
EXPEDICAO,ACIDO ASCORBICO,1000014539,SR20K00005,25.00,24.99,0.01
EXPEDICAO,ACIDO CITRICO,1000024901,12050322,6.45.,6.45,0.00
EXPEDICAO,ACIDO CITRICO,1000024901,L240927CL302,455.82,455.82,0.00
EXPEDICAO,ACUCAR ORGANICO,1000014717,L240913CL302,225.00,225.00,0.00
EXPEDICAO,AF 3845,763103002715,L241111CL301,1080.00,1080.00,0.00
EXPEDICAO,AF 3845,763103002715,L241008CL302,40.00,40.00,0.00
.EXPEDICAO,AF 3846,763103003715,L240927CL301,80.00,80.00,0.00
EXPEDICAO,AF 4403,763103011715,L240404CL301,1950.00,1950.00,0.00
EXPEDICAO,AF 4403,763103011715,288,210.00,210.00,0.00
EXPEDICAO,AF 4811,763103004115,L241114CL202,1265.00,1265.00,0.00
EXPEDICAO,AGUA DE COCO-CONCENTRADA,1000015596,L241114CL205,46.00,0.00,46.00
EXPEDICAO,AGUA DE COCO CONCENTRADA,1000015596,L241114CL203,0.00,0.00,0.00
EXPEDICAO,AGUCOCOSDP24017BR - COCO,722163002515,L241108CL201,140.00,140.00,0.00
EXPEDICAO,AGUCOCOSDP24017BR - COCO,722163002515,L241114CL201,240.00,240.00,0.00
EXPEDICAO,AGUCOCOSDP24017BR - COCO,722163002515,L241114CL204,380.00,380.00,0.00
EXPEDICAO,AGUCOCOSDP24017BR - COCO,722163002515,2086333,460.00,460.00,.0.00
EXPEDICAO,AGUCOCOSDP24017BR - COCO,722163002515,2066926,780.00,780.00,0.00
EXPEDICAO,AGUCOCOSDP24017BR - COCO,722163002515,200508583,540.00,540.00,0.00
EXPEDICAO,AMIDO DE MILHO,1000014802,L240226CL202,900.00,900.00,0.00
EXPEDICAO,AMIDO DE MILHO,1000014802,L230727CL202_1,0.00.,.0.00,0.00
EXPEDICAO,AROMA DE MARACUJA,1000014956,L230803CL202,0.00,0.00,0.00
EXPEDICAO,BEEP4360919PET - BETERRABA,722173008515,ZZD$234002651-6,360.00,360.00,0.00
EXPEDICAO,BEEP4360919PET - BETERRABA,722173008515,,16.00,16.00,0.00
EXPEDICAC,BEET4XDES17116 - BETERRABA,72217300151,,40.00,40.00,0.00
EXPEDICAC,BETERRABA DESIDRATADA,100001481,,65.00,64.99,1.00
