categoria,descricao,codigo_produto,codigo_auxiliar,valor_1,valor_2,valor_3
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240422CL205_1,500.00,500.00,.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240422CL206_1,660.00,660.00,.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240415CL205_1,1760.00,1760.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240409CL202_1,1200.00,1200.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240429CL205_1,1580.00,1580.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240429CL204_1,840.00,840.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240513CL203_1,660.00,660.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240506CL205_1,1340.00,1340.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240409CL203_1,3200.00,3200.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240710CL202,1920.00,1920.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240513CL202_1,1200.00,1200.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240715CL202,4900.00,4900.00,0.00
EXPEDICAO,GEN100DES2014XM - GENGIBRE,722903009515,L240704CL201,1000.00,1000.00,0.00
EXPEDICAO,GOMA ACACIA,1000014765,230253,264.00,264.00,0.00
EXPEDICAO,GREEN MATE 2-5 MM PURE,1000016246,083D,0.00,0.00,0.00
EXPEDICAO,GRENCF10DES53716 - CAFE VERDE,721293004515,L241108CL101,480.00,480.00,0.00
EXPEDICAO,GU100460219 - GUARANA,721253013555,L241101CL103,300.00,300.00,0.00
EXPEDICAO,GUA2222503220094 - GUARANA 22%,721252077515,L220404CL102,9520.50,9520.50,0.00
EXPEDICAO,GUA22DES2563,1000015280,L240312CL201,0.00,0.00,0.00
EXPEDICAO,GUA22DES2563B - GUARANA,721252029515,S240301CL102,108.70,108.70,0.00
EXPEDICAO,GUARANA SEMENTE,1000014696,008.03.2024,0.00,0.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240731CL202,3840.00,3840.00,0.00
EXPEDICAO,GUA$E7230618 - GUARANA,721253024555,L240729CL203,2320.00,2320.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240323CL201,1160.00,1160.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240613CL201,20.00,20.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240805CL202,6480.00,6480.00,0.00
EXPEDICAO,GUASE7230618. - GUARANA,721253024555,L240905CL202,3480.00,3480.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240905CL201,3120.00,3120.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240323CL202,1920.00,1920.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240821CL202,4460.00,4460.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240826CL202,6640.00,6640.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240829CL202,5180.00,5180.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240902CL202,5220.00,5220.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L230329CL102,4.60,4.60.,0.00
EXPED!CAO,GUASE7230618 - GUARANA,721253024555,L230412CL103,3.45,3.45,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L230412CL105,1.50,1.50,0.00
EXPEDICAO,GUASE7230618 -- GUARANA,721253024555,L230712CL104,4.52,4.50,0.02
EXPEDICAO,GUASE7230618- - GUARANA,721253024555,L230804CL102,1.90,1.90,0.0
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L240909CL201,4400.00,4400.00,0.00
EXPEDICAO,GUASE7230618 - GUARANA,721253024555,L230619CL106,6.64,6.64,0.01
EXPEDICAC,GUASE7230618 - GUARANA,721253024555,30060877',4547.50,4336.00,211.51
EXPEDICAC,GUASE7230618 - GUARANA,72125302455,10.,3100.01,2975.00,125.01
EXPEDICAR,GUASE7230618 - GUARANA,72125302455,30060871,1220.01,1141.00,79.0
,,,30060858,,,
