categoria,descricao,codigo_produto,codigo_auxiliar,valor_1,valor_2,valor_3
P&D,AC172020519 - ACEROLA - SA,722022028515,S230717CL201,3.90,0.00,3.90
P&D,DYC41007230125-TESTE MIST ENER,623103001515,S230926CL201,185.20,185.82,0.62
P&D,DYC41007230126-TESTE MIST+MOIN,623103002515,S230926CL202,192.65,192.64,0.61
DEPOSITO_AMOSTR,AGUA DE COCO CONCENTRADA,1000015596,141,12.70,12.70,0.00
DEPOSITO_AMOSTR,"SACO POLIETILENO 60-1,00 20 MM",1000014697,110128,10.00,91.00,81.00
DEPOSITO_AMOSTR,SACO DE POLITILENO 40/60 20MM,1000014720,4766/2025,100.00,81.00,15.00
DEPOSITO_AMOSTR.,MAT8CAFSDP1617,721263009515,L220110CL103,2.00,2.08,0.08
DEPOSITO_AMOSTR/,LTCO06780620 - COCO,724163004515,L221202CL401,0.90,0.00,.0.90
DEPOSITO_AMOSTRA,GUASE7230618 - GUARANA,721253024555,L230113CL101,0.18,0.19,0.01
DEPOSITO_AMOSTRA,PSY26601210001 - PSYLLIUM,726663001516,L230208CL105,1.70,3.68,1.98
DEPOSITO_AMOSTRA,GU100460219 - GUARANA,721253013555,L230404CL102,5.75,6.76,1.01
DEPOSITO_AMOSTRA,LTCO06780620 - COCO,724163004515,L230601CL403,0.05,0.00,0.05
DEPOSITO_AMOSTRA,GUASE7230618 - GUARANA,721253024555,L230619CL104,4.47,4.48,0.02
DEPOSITO_AMOSTRA,AC172020519 - ACEROLA,722023001555,L230728CL201,14.10,14.22,0.12
DEPOSITO_AMOSTRA,BEET4XDES17116 - BETERRABA,722173001515,L230803CL202,2.30,2.30,0.00
DEPOSITO_AMOSTRA,DYC20303210034 - BANANA EM PO,722033002515,L230807CL401,1.00,1.00,0.00
DEPOSITO_AMOSTRA,GUA22BDES2011 - GUARANA,721253008555,L230814CL105,11.35,10.75,0.60
DEPOSITO_AMOSTRA,ACI2115820 - ACAI,722013001515,L230821CL203,5.06,5.09,0.03
DEPOSITO_AMOSTRA,AGUCOCOSDP24017 - COCO,722163001515,L230828CL205,0.25,0.22,00
DEPOSITO_AMOSTRA,GUA22DES2563,1000015280,L230911CL104,0.40,0.42,0.02
DEPOSITO_AMOSTRA,ACE2090720XM - ACEROLA POWDER,722023021555,L231002CL206,10.70,10.76,0.06
DEPOSITO_AMOSTRA,LTCO06780620BR - COCO,724163030415,L231005CL402,6.35,6.33,0.02
DEPOSITO_AMOSTRA,AGUCOCOSDP24017 - COCO,722163001515,L231113CL205,0.60,0.61,0.01
DEPOSITO_AMOSTRA,G226181120 - GUARANA,721253018555,L231114CL101,8.05,8.07,0.02
DEPOSITO_AMOSTRA,AGUCOCOSDP24017 - COCO,722163001515,L231129CL204,0.04,0.00,0.04
DEPOSITO_AMOSTRA,ABCXI54816 - ABACAXI,722153001515,L231227CL204,19.50,20.06,0.56
DEPOSITO_AMOSTRA,GUASE7230618 - GUARANA,721253024555,L240102CL206,0.30,0.29,0.01
DEPOSITO_AMOSTRA,HBSDP54616 - HIBISCO,721303002515,L240119CL103,2.30,2.34,0.04
DEPOSITO_AMOSTRA,HBSDP54616 - HIBISCO,721303002515,L240122CL102,0.90,0.93,0.03
DEPOSITO_AMOSTRA,AC 2115820 - ACAI,722013001515,L240129CL203,0.65,0.71,0.05
DEPOSITO_AMOSTRA,GEN100DES2014 - GENGIBRE,722213001515,L240213CL203,1.80,1.81,0.01
DEPOSITO_AMOSTRA,MTG6740620 - ERVA MATE,721263003515,L240403CL101,9.50,9.36.,0.14
DEPOSITO_AMOSTRA,GRENCF10DES53716 - CAFE VERDE,721293004515,L240528CL101,17.00,16.74,0.26
DEPOSITO_AMOSTRA,KMB2180820 - KOMBUCHA,723373001515,L240529CL301,19.10,18.85,0.25
DEPOSITO_AMOSTRA,PTYA1XDES29816- PITAYA,722133002515,L240605CL201,9.86,96,0.01
DEPOSITO_AMOSTRA,AGUCOCOSDP24017BR - COCO,722163002515,L240628CL202,14.00,14.01,0.01
DEPOSITO_AMOSTRA,GUA1.522512210090 - GUARANA,721253076515,L240703CL201,13.42,13.46,0.04
DEPOSITO_AMOSTRA,GU100460219 - GUARANA,721253013555,L240705CL101,0.54,0.55,0.00
EPOSITO_AMOSTRA,ORGCOC21605210054 - COCO ORG,724163026415,L240815CL201,5.30.,5.35,0.05
EPOSITO_AMOSTRA,LD602130619 - COCO,724163002515,L240815CL202,6.50,6.52,0.02
EPOSITO_AMOSTRA,BEEP4360919PET - BETERRABA,722173008515,L240226CL202,0.00,0.98,0.98
MOSTRA,ABRACADEIRA SEM LOGO,1200097349,L231129CL204,30.00,.30.00,0.00
MOSTRA,AGUCOCOSDP24017 - COCO,722163001515,,0.13,0.13,0.00
