categoria,descricao,codigo_produto,codigo_auxiliar,valor_1,valor_2,valor_3
PRODUCAO,3UASE7230618 - GUARANA,721253024555,.240624CL205,9.80,9.80,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,240617CL202,10.20,10.00,0.20
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240131CL203,10.40,10.40,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240905CL202,11.40,11.40,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240520CL203,12.00,12.00,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240613CL201,12.25,12.25,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240515CL203,12.53,12.53,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240729CL203,13.16,13.16,0.00
PRODUCAO,GUASE7230618: - GUARANA,721253024555,L240619CL201,13.60,13.60,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240611CL202,14.00,14.00,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240905CL201,14.22,14.22,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240527CL204,14.52,14.85,0.33
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240909CL201,17.24,17.24,0.00
PRODUCAO,GUASE7230618 - GUARANA,721253024555,L240605CL202,17.60,17.60,0.00
PRODUCAO,HBSDP54616 - HIBISCO,721303002515,L240802CL101,7.68,7.68,0.00
PRODUCAO,HBSDP54616 - HIBISCO,721303002515,L240119CL103,8.00,8.00.,0.00
PRODUCAO,HBSDP54616 - HIBISCO,721303002515,L240913CL101,8.20,8.20,0.00
PRODUCAO,LTCO06780620BR - COCO,724163030415,L240417CL201_1,8.00,8.00,0.00
PRODUCAO,LTCO06780620BR - COCO,724163030415,L241108CL202,9.12,9.12,0.00
PRODUCAO,LTCO06780620BR - COCO,724163030415,L241104CL206,12.30,12.30,0.00
PRODUCAO,LTCO06780620BR - COCO,724163030415,L240409CL201_1,15.00,15.00,0.00
PRODUCAO,LTCO06780620BR - COCO,724163030415,L241104CL207,15.40,15.40,0.00
PRODUCAO,MALTODEXTRINA DE MANDIOCA,1000014805,QP-432,13.00,13.85,0.85
PRODUCAO,MALTODEXTRINA DE MANDIOCA,1000014805,70624030,481.81,486.85,5.04
PRODUCAO,MALTODEXTRINA DE MANDIOCA,1000014805,70624034,3750.00,3750.00.,0.00
PRODUCAO,MANZ22012210089 - APPLE POWDER,722203024515,L241010CL201,8.48,8.48,0.00
PRODUCAO,MANZ22012210089 - APPLE POWDER,722203024515,L241208CL201,3336.40,3336.40,0.00
PRODUCAO,MANZ22012210089 - APPLE POWDER,722203024515,L241207CL201,466.50,466.90,0.40
PRODUCAO,MANZ22012210089-SA,722202023515,S241202CL201,343.00,343.50,0.50
PRODUCAO,MANZ22012210089-SA,722202023515,S241206CL201,2425.00,2410.10,14.93
PRODUCAO,ORGMAT450220 - ERVA MATE,721263004415,L240924CL101,12.88,12.88,0.00
PRODUCAO,PNPL100DES2014 - ABACAXI,722153002515,L231226CL201,14.13,13.98,0.15
PRODUCAO,PTYA1XDES29816 - PITAYA - SA,722132003515,S240531CL201,10.05,10.05,0.00
PRODUCAO,REPROCESSO LTCO06780620,724162042515,S240520CL205,7.90,7.90,0.00
PRODUCAO,RIBBON 110MM X 74M,1000014729,414096-10,3.00,3.00.,0.00
PRODUCAO,SACO AB BRANCO,1100045780,9194,3783.00,3774.00,3.05
PRODUCAO,SACO DE POLITILENO 40/60 20MM,1000014720,345531,1847.00,1796.00,51.00
PRODUCAO,SACO LISO AB PIG BRANCO 80X60,1100045761,885942,3671.00,3712.00,41.01
PRODUCAO,SACO LISO LAMINADO PET METALIZ,1200097347,113785,8.00,40.00,32.01
PRODUCAO,"SACO POLIETILENO 60-1,00 20 MM",1000014697,L240611CL203,1733.00,1564.00,169.0
PRODUCAO,TABULEIRO 1200X1000,1000014704,,15.00,4.00,11.0
EXPEDICAO,ABCXI54816 - ABACAXI,722153001515,,600.00.,600.00,0.0
